Unnamed: 0,Text,tokens,sent_score,word_count,sent_index
0,서울 되련님들도 뭣같고 오세이돈도 뭣같고 지옥런한 새끼도 뭣같고 산불 안보러간다고 욕을 욕을 했으면서 멀쩡한 컨트롤타워 버리고 침수도 안 된 지 집에서 궁댕이 뭉개고 있던 새끼도 뭣같음,서울 되련 뭣같 이돈 뭣같 지옥런 새끼 뭣같 산불 보러 간다 했으면서 멀쩡한 컨트롤 타워 버리고 침수 궁댕 뭉개 있던 새끼 뭣같음,-4,103,-0.038834951456310676
1,지겹게 이어지던 산불  기억속에 가득하다,지겹게 이어지던 산불 가득하다,0,22,0.0
2,s    이번주 뉴스만 해도   파키스탄 지난  주간 폭우로    명 사망   미국 켄터키주 폭우로   명 사망   이란 폭우로   명 사망   미국 북서부 산불 계속 번지는중   작년에   도를 찍고 전소한 캐나다 리튼시 올해도   도,이번 뉴스 해도 파키스탄 지난 주간 폭우 사망 미국 켄터키주 폭우 사망 이란 폭우 사망 미국 서부 산불 계속 번지 작년 도를 찍고 전소 캐나다 튼시 올해,-4,132,-0.030303030303030304
3,s            이상 이천화재로 사람죽어갈때 경기도지사랑 떡볶이먹방찍고계셨던 분의 말씀이셨습니다     s,이상 화재 사람 죽어 도지사 떡볶이 먹방 찍고계셨던 말씀 셨습,-2,63,-0.031746031746031744
4,재난에 닥치니 진짜 문재인대통령  이낙연 총리님시절이 그리워죽겠음 그때 산불났을 때 어떻게 했냐 다른거도 비슷함  총리님 상황실에서 정리된 브리핑 하심 노란잠바입고 앉으셔서 산림청 소방청 강원도에 있는 관계기관들 짚으며 현재,재난 닥치니 진짜 문재인 대통령 이낙연 총리 시절 그리워 죽겠음 그때 산불 났을 어떻게 했냐 다른 거도 비슷함 총리 상황 정리 브리핑 노란 잠바 입고 앉으셔서 산림청 소방청 강원도 있는 관계 기관 짚으며 현재,1,125,0.008
5,너희들의 메시아인 이재명이 대통령이었으면 달랐을까  재난 상황마다 꼴값을 떨었던 이재명이  판교 환풍구 사고 때 이재명이 어떻게 행동했나 알아봐  쿠팡화재 때문에 소방관이 죽어갈 때 뭐 했는지도 알아보고  코로나,너희 메시아 이재명 대통령 이었으면 달랐을까 재난 상황 꼴값 떨었던 이재명 판교 풍구 사고 이재명 어떻게 행동 했나 알아봐 쿠팡 화재 때문 소방관 죽어 했는지도 알아보고 코로나,-2,118,-0.01694915254237288
6,윤석열이  머  라고  했더  라       밤   시  울진 산불  이재민 찾아     있더라도 헬기라도 타고 와야죠    다음 뉴스     s,윤석열 울진 산불 재민 찾아 있더라도 헬기 타고 와야죠 다음 뉴스,0,81,0.0
7,s       년 속초 산불 때 속초시장이 전날 제주도여행을 떠났다가 당일 밤비행기가 없어 다음날 첫비행기로 부랴부랴 올라온 것조차  바람직하지 않은 처신 이라고 비난했던 언론을 기억한다  그런데 서울 한복판 물난리에 밍기적대면서,속초 산불 속초시 전날 제주도 여행 떠났다가 당일 비행기 없어 다음 비행기 부랴부랴 올라온 바람직하지 않은 처신 비난 했던 언론 기억 그런데 서울 복판 물난리 기적 대면,0,128,0.0
8,s             윤석열 폭우 출근 못함 비난하면서   이재명 쿠팡 화재 먹방은 모른척  이낙연 산불 재해 막은 것  아프리카돼지열병 막은 것은 무시,윤석열 폭우 출근 비난 하면서 이재명 쿠팡 화재 먹방 모른 이낙연 산불 재해 막은 아프리카 돼지 열병 막은 무시,-6,87,-0.06896551724137931
9,s    미드 뉴스룸에서  년전에 나온 장면  지금 탄소예산은    기가톤정도 남았고  대기중 이산화탄소 농도는         여기서 말하는 대량이민  산불  폭풍  식량난  식수부족  역병같은  포스트아포칼립스 세계 는 이미 맛보고있네,미드 뉴스룸 년전 나온 장면 지금 탄소 예산 기가톤 정도 남았고 대기 이산화탄소 농도 여기 하는 대량 이민 산불 폭풍 식량난 식수 부족 역병 같은 포스트 아포칼립스 세계 맛보고있네,-3,132,-0.022727272727272728
